stdio    D E:\LIBS\LIBS71Build\allegro\src\file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\roger\Dropbox\Programs\SwiftForth_3.5.3\SwiftForth\bin\allegro5.cfg r
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23155] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23157] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.23162] added dtor for sample_instance 2205EF18, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.23164] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23166] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23168] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.23172] added dtor for sample_instance 2205F398, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.23174] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23176] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23178] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.23180] added dtor for sample_instance 2205FB40, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.23182] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23184] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23186] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.23189] added dtor for sample_instance 2205FC58, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.23191] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23193] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23194] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.23196] added dtor for sample_instance 2205F6E0, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.23198] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23200] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23202] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.23204] added dtor for sample_instance 2205F5C8, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.23206] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23208] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23210] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.23212] added dtor for sample_instance 2205F4B0, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.23215] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23217] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23219] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.23222] added dtor for sample_instance 2205F7F8, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.23232] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23235] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.24415] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.24420] added dtor for sample_instance 2205F910, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.24422] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.24424] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.24426] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.24428] added dtor for sample_instance 2205F050, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.24431] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.24433] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.24438] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.24441] added dtor for sample_instance 2205FE88, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.24443] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.24445] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.24446] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.24448] added dtor for sample_instance 2205FD70, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.24450] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.24452] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.24454] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.24456] added dtor for sample_instance 2205F168, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.24458] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.24460] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.24461] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.24463] added dtor for sample_instance 2205F280, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.24465] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.24467] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.24469] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.24471] added dtor for sample_instance 2205FA28, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.24473] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.24475] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.24476] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.24482] added dtor for sample_instance 220625E0, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.24485] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.24487] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.24488] 
audio-dsound D E:\LIBS\LIBS71Build\allegro\addons\audio\dsound.cpp:296  _dsound_allocate_voice           [   0.24492] Allocating voice
audio-dsound D E:\LIBS\LIBS71Build\allegro\addons\audio\dsound.cpp:355  _dsound_allocate_voice           [   0.24494] Allocated voice
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.24496] added dtor for voice 1C6385F0, func 67886694
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.24499] added dtor for mixer 220634B8, func 678824CC
audio-dsound D E:\LIBS\LIBS71Build\allegro\addons\audio\dsound.cpp:451  _dsound_start_voice              [   0.24501] Starting voice
audio-dsound D E:\LIBS\LIBS71Build\allegro\addons\audio\dsound.cpp:479  _dsound_start_voice              [   0.24503] CreateSoundBuffer
audio-dsound D E:\LIBS\LIBS71Build\allegro\addons\audio\dsound.cpp:487  _dsound_start_voice              [   1.14401] CreateSoundBuffer succeeded
audio-dsound D E:\LIBS\LIBS71Build\allegro\addons\audio\dsound.cpp:493  _dsound_start_voice              [   1.14407] Starting _dsound_update thread
audio-dsound I E:\LIBS\LIBS71Build\allegro\addons\audio\dsound.cpp:503  _dsound_start_voice              [   1.14416] Voice started
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:227  _al_unregister_destructor        [   1.14419] removed dtor for sample_instance 220500A0
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   1.14423] added dtor for sample_instance 22062EA0, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   1.14426] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   1.14428] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   1.14430] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:227  _al_unregister_destructor        [   1.14432] removed dtor for sample_instance 220503F0
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   1.14435] added dtor for sample_instance 220623B0, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   1.14466] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   1.14468] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   1.14470] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:227  _al_unregister_destructor        [   1.14472] removed dtor for sample_instance 22054508
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   1.14476] added dtor for sample_instance 22062B58, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   1.14479] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   1.14481] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   1.14483] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:227  _al_unregister_destructor        [   1.14485] removed dtor for sample_instance 2205C620
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   1.14487] added dtor for sample_instance 22062068, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   1.14489] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   1.14491] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   1.14492] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:227  _al_unregister_destructor        [   1.14494] removed dtor for sample_instance 2205C7B8
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   1.14496] added dtor for sample_instance 220618C0, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   1.14497] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   1.14498] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   1.14499] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:227  _al_unregister_destructor        [   1.14501] removed dtor for sample_instance 2205C8C8
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   1.14502] added dtor for sample_instance 22062A40, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   1.14504] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   1.14505] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   1.14506] 
